,gw20_v1,gw20_v2,gw34_v1,gw34_v2,gw20_v1_minus_v2,gw34_v1_minus_v2
Astrocyte,0.007583301417081578,0.006911612949674818,0.14305124223602483,0.10736100234925607,0.0006716884674067601,0.03569023988676877
EC,0.007047108387590961,0.00885550409177086,0.09495341614906833,0.047533281127642914,-0.0018083957041798993,0.04742013502142541
EN-ET,0.2343929528916124,0.23813866423480284,0.05768633540372671,0.06624902114330462,-0.003745711343190433,-0.008562685739577913
EN-IT-DL,0.21248563768671008,0.250713960018239,0.19258540372670807,0.25943617854346124,-0.0382283223315289,-0.06685077481675317
EN-IT-UL,0.4763692072003064,0.4422712328109626,0.3217391304347826,0.29350039154267815,0.03409797438934381,0.02823873889210443
Glia,0.003485254691689008,0.006071659987040726,0.04305124223602484,0.0350822239624119,-0.0025864052953517183,0.00796901827361294
IN,0.013423975488318652,0.013247258153543402,0.1469332298136646,0.19083790133124512,0.00017671733477525077,-0.04390467151758051
Other-progenitor,0.04521256223669092,0.03379010775396578,0.0,0.0,0.011422454482725143,0.0
