domain,observed_cosine,null_median,null_p05,p_value,n_perm_valid
d0,0.6839,0.74,0.7177,0.001,1000
d1,0.671,0.7406,0.7283,0.001,1000
d2,0.8481,0.7396,0.7179,1.0,1000
d3,0.1395,0.7404,0.7306,0.001,1000
d4,0.754,0.7403,0.7187,0.8511,1000
d5,0.7855,0.7414,0.7273,1.0,1000
d6,0.9339,0.7406,0.7278,1.0,1000
d7,0.9765,0.7385,0.7005,1.0,1000
