domain,observed_cosine,null_median,null_p05,p_value,n_perm_valid
d0,0.6185,0.7402,0.7048,0.001,1000
d1,0.1536,0.7407,0.7311,0.001,1000
d2,0.8146,0.7402,0.7253,1.0,1000
d3,0.7108,0.7405,0.7299,0.001,1000
d4,0.6272,0.7401,0.716,0.001,1000
d5,0.9869,0.7405,0.7264,1.0,1000
d6,0.8334,0.741,0.7195,1.0,1000
d7,0.9259,0.738,0.6929,1.0,1000
