v1_niche,best_match,observed_cosine,null_median,null_p95,p_value,matched_thr
d0,d3,0.9986,0.9799,0.9863,0.001,True
d1,d7,0.9305,0.9797,0.9877,1.0,True
d2,d3,0.9917,0.9798,0.9861,0.002,True
d3,d3,0.9852,0.9799,0.9859,0.0689,True
d4,d0,0.9663,0.9798,0.9861,1.0,True
d5,d4,0.994,0.98,0.9866,0.001,True
d6,d5,0.9507,0.9801,0.9864,1.0,True
d7,d3,0.9826,0.9798,0.9858,0.1838,True
