v1_niche,best_match,observed_cosine,null_median,null_p95,p_value,matched_thr
d0,d7,0.8622,0.6232,0.6569,0.001,True
d1,d6,0.9955,0.6244,0.6466,0.001,True
d2,d3,0.204,0.6239,0.639,1.0,False
d3,d0,0.9951,0.6245,0.6521,0.001,True
d4,d0,0.7279,0.6238,0.6428,0.001,True
d5,d1,0.9688,0.6241,0.6411,0.001,True
d6,d2,0.9255,0.6243,0.6424,0.001,True
d7,d6,0.011,0.5799,0.7904,1.0,False
