domain,observed_cosine,null_median,null_p05,p_value,n_perm_valid
d0,0.1686,0.377,0.3608,0.001,1000
d1,0.9405,0.3774,0.3489,1.0,1000
d2,0.0693,0.3777,0.3639,0.001,1000
d3,0.3644,0.3778,0.3635,0.0619,1000
d4,0.8424,0.3771,0.3633,1.0,1000
d5,0.6762,0.3776,0.3608,1.0,1000
d6,0.7167,0.3771,0.3666,1.0,1000
d7,0.1058,0.3772,0.3671,0.001,1000
