v1_niche,best_match,observed_cosine,null_median,null_p95,p_value,matched_thr
d0,d7,0.8946,0.98,0.9887,1.0,True
d1,d6,0.9832,0.9802,0.9873,0.2428,True
d2,d1,0.9593,0.9802,0.9868,1.0,True
d3,d0,0.9973,0.9802,0.9876,0.001,True
d4,d5,0.9869,0.9804,0.9866,0.048,True
d5,d1,0.9837,0.9802,0.9866,0.1568,True
d6,d2,0.9366,0.9802,0.9865,1.0,True
d7,d0,0.0785,0.942,0.9876,1.0,False
