population,column,direction,v1_mean,v2_mean,diff,higher_in,log2fc,rank_biserial,u_pvalue,q_value
cpmz,r-WNT,r,30.470719,29.432937,1.037782,V1,0.05,0.0904,2.0173081256387592e-47,0.0
cpmz,s-WNT,s,30.470719,29.432937,1.037782,V1,0.05,0.0147,0.01838151484427892,0.019727
